entity:metagenomics_id	k2_db	sample	unmapped_bam
G5723.1-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	G5723.1	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/submissions/0c1d15b2-4896-497a-ac92-5c3f64f8de61/fetch_sra_to_bam/24252169-ec60-476a-b6a7-fe26548a96af/call-Fetch_SRA_to_BAM/SRR1972917.bam
G5731.1-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	G5731.1	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/submissions/0c1d15b2-4896-497a-ac92-5c3f64f8de61/fetch_sra_to_bam/b52d0a24-df06-4b26-a373-2b812896455e/call-Fetch_SRA_to_BAM/SRR1972918.bam
G5732.1-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	G5732.1	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/submissions/0c1d15b2-4896-497a-ac92-5c3f64f8de61/fetch_sra_to_bam/349fe402-6475-4b19-a20e-9fe1db0bd49c/call-Fetch_SRA_to_BAM/SRR1972919.bam
G5735.2-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	G5735.2	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/submissions/0c1d15b2-4896-497a-ac92-5c3f64f8de61/fetch_sra_to_bam/d3dce9ad-f54f-4c5d-ab60-82c8d501f817/call-Fetch_SRA_to_BAM/SRR1972920.bam
LASV_NGA_2016_0409-Broad	gs://pathogen-public-dbs/v1/kraken2-broad-20200505.tar.zst	LASV_NGA_2016_0409	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_0409.ll2.bam
LASV_NGA_2016_0409-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	LASV_NGA_2016_0409	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_0409.ll2.bam
LASV_NGA_2016_0668-Broad	gs://pathogen-public-dbs/v1/kraken2-broad-20200505.tar.zst	LASV_NGA_2016_0668	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_0668.ll4.bam
LASV_NGA_2016_0668-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	LASV_NGA_2016_0668	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_0668.ll4.bam
LASV_NGA_2016_0811-Broad	gs://pathogen-public-dbs/v1/kraken2-broad-20200505.tar.zst	LASV_NGA_2016_0811	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_0811.ll3.bam
LASV_NGA_2016_0811-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	LASV_NGA_2016_0811	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_0811.ll3.bam
LASV_NGA_2016_1423-Broad	gs://pathogen-public-dbs/v1/kraken2-broad-20200505.tar.zst	LASV_NGA_2016_1423	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_1423.bam
LASV_NGA_2016_1423-PlusPF	gs://pathogen-public-dbs/jhu/k2_pluspf_20221209.tar.zst	LASV_NGA_2016_1423	gs://fc-d3199a88-7e13-433f-b77d-f62ef308d168/raw_read_data/LASV_NGA_2016_1423.bam
